Country	Code	GDP	Fertility	Population	Continent	Normalized	Logged	LogGDP
Slovenia	SVN	20729	1.6	2063531	Europe	3.81534796	6.314610998	4.316576683
Solomon Islands	SLB	1935	3.9	583591	Asia	3.245050025	5.766108586	3.286648714
Somalia	SOM	549	6.4	10787104	Africa	4.562184257	7.032904866	2.739783489
South Africa	ZAF	5718	2.3	55011976.68	Africa	5.297852242	7.74045725	3.757262739
South Sudan	SSD	731	4.9	12339812	Africa	4.622908687	7.091308543	2.863667839
Spain	ESP	25685	1.3	46443994	Europe	5.221402824	7.66692956	4.40967491
Sri Lanka	LKA	3926	2.1	20966000	Asia	4.86226333	7.321515581	3.593969587
St. Lucia	LCA	7736	1.9	184999	America	2.726284761	5.267169381	3.888511436
St. Vincent and the Grenadines	VCT	6739	2	109462	America	2.48932259	5.039263379	3.828606723
Sudan	SDN	2415	4.3	40234882	Africa	5.156599351	7.604602732	3.382867427
Suriname	SUR	9485	2.3	542975	America	3.212476381	5.734779834	3.977051952
Swaziland	SWZ	3200	3.2	1286970	Africa	3.602157728	6.109568423	3.505169388
Sweden	SWE	50585	1.9	9799186	Europe	4.518811793	6.991190001	4.704023973
Switzerland	CHE	80999	1.5	8281430	Europe	4.442823004	6.918105335	4.908481198
Tajikistan	TJK	926	3.5	8481855	Asia	4.453621195	6.928490844	2.96656966
Tanzania	TZA	879	5.1	53470420	Africa	5.285018094	7.728113595	2.943976575
Thailand	THA	5815	1.5	67959359	Asia	5.393291752	7.832249274	3.764532524
Timor-Leste	TLS	1217	5.6	1184765	Asia	3.564793544	6.073632216	3.085248285
Togo	TGO	560	4.5	7304578	Africa	4.386146759	6.863595131	2.747905548
Tonga	TON	4099	3.7	106170	Asia	2.475534062	5.026001817	3.612629594
Trinidad and Tobago	TTO	17322	1.8	1360088	America	3.627109931	6.133567009	4.238595143
Tunisia	TUN	3822	2.1	11253554	Africa	4.581299638	7.051289699	3.582331134
Turkey	TUR	9126	2.1	78665830	Europe	5.459353334	7.895786129	3.960265597
Turkmenistan	TKM	6672	2.3	5373502	Asia	4.247510679	6.730257415	3.824287121
Uganda	UGA	705	5.7	39032383	Africa	5.142898052	7.591425067	2.848369308
Ukraine	UKR	2115	1.5	45154029	Europe	5.208683674	7.654696508	3.325301073
